iter	RMSE
0	23.55822828
1	23.55024259
2	23.54423548
3	23.53371891
4	23.52933153
5	23.52174164
6	23.51342657
7	23.50723976
8	23.5030672
9	23.49645318
10	23.49010515
11	23.48424768
12	23.47633878
13	23.47205343
14	23.46651036
15	23.46223389
16	23.45518747
17	23.45115504
18	23.44522456
19	23.44061735
20	23.43617596
21	23.43187792
22	23.42664563
23	23.42037056
24	23.41487927
25	23.41120643
26	23.4025389
27	23.39625315
28	23.39075805
29	23.38825886
30	23.3812559
31	23.37725242
32	23.37102842
33	23.36606576
34	23.36274981
35	23.35787846
36	23.35312486
37	23.3485319
38	23.34594866
39	23.34118055
40	23.33824599
41	23.33169533
42	23.32434567
43	23.32035895
44	23.31456511
45	23.30856837
46	23.30176437
47	23.29636292
48	23.29266722
49	23.28745341
50	23.28515099
51	23.28257205
52	23.27813868
53	23.27485478
54	23.26946425
55	23.26583646
56	23.26010824
57	23.25533263
58	23.24917924
59	23.24606069
60	23.24139591
61	23.23606971
62	23.23186514
63	23.22912861
64	23.22461118
65	23.22013344
66	23.21812798
67	23.21354759
68	23.2092349
69	23.20134722
70	23.19857734
71	23.19355577
72	23.19016339
73	23.18829892
74	23.18461914
75	23.18304323
76	23.17954264
77	23.17483779
78	23.16978064
79	23.16666874
80	23.16267502
81	23.1596138
82	23.15475658
83	23.15104021
84	23.14685122
85	23.14441127
86	23.14021056
87	23.13731698
88	23.1340709
89	23.13010283
90	23.12702298
91	23.12195173
92	23.11747869
93	23.11206676
94	23.10665774
95	23.1015596
96	23.09543716
97	23.08922999
98	23.08452162
99	23.07948727
100	23.0734734
101	23.06802833
102	23.0639333
103	23.05951647
104	23.05528309
105	23.04923548
106	23.04633521
107	23.0412696
108	23.03853602
109	23.03590309
110	23.03128606
111	23.02588122
112	23.02069656
113	23.01678016
114	23.01141886
115	23.00677168
116	23.00230527
117	22.99664273
118	22.99103562
119	22.987644
120	22.98400283
121	22.98012465
122	22.97448786
123	22.96984618
124	22.96534066
125	22.9609382
126	22.95786607
127	22.95390073
128	22.94991855
129	22.94774514
130	22.94343313
131	22.93739988
132	22.93310864
133	22.92923642
134	22.92449501
135	22.92083337
136	22.91757182
137	22.91367534
138	22.91005906
139	22.90486972
140	22.90057812
141	22.89713153
142	22.89433809
143	22.89201999
144	22.88734966
145	22.88376277
146	22.88049634
147	22.87658388
148	22.87241772
149	22.86794012
