iter	Passed	Remaining
0	151	22635
1	157	11688
2	162	7985
3	167	6114
4	172	5015
5	178	4289
6	185	3782
7	193	3428
8	198	3113
9	205	2874
10	210	2660
11	217	2503
12	224	2369
13	233	2268
14	243	2193
15	250	2101
16	257	2015
17	267	1963
18	275	1900
19	281	1831
20	287	1767
21	294	1712
22	299	1653
23	303	1595
24	309	1546
25	317	1512
26	329	1499
27	337	1468
28	344	1439
29	351	1404
30	357	1373
31	366	1352
32	375	1330
33	380	1298
34	384	1264
35	389	1234
36	393	1202
37	401	1182
38	407	1160
39	414	1138
40	421	1120
41	428	1101
42	435	1083
43	441	1064
44	449	1048
45	455	1029
46	465	1019
47	472	1003
48	477	984
49	481	963
50	486	944
51	491	925
52	497	910
53	504	896
54	510	880
55	514	863
56	519	847
57	523	830
58	529	816
59	535	803
60	539	787
61	543	771
62	547	756
63	552	742
64	556	727
65	560	713
66	565	700
67	570	688
68	577	677
69	586	669
70	592	658
71	596	646
72	601	634
73	605	621
74	610	610
75	616	600
76	622	590
77	627	579
78	631	567
79	636	557
80	640	546
81	645	535
82	651	526
83	658	517
84	663	507
85	668	497
86	672	486
87	676	476
88	680	466
89	685	457
90	690	447
91	696	438
92	701	429
93	705	420
94	709	410
95	713	401
96	718	392
97	722	383
98	727	374
99	731	365
100	736	357
101	741	348
102	745	340
103	750	331
104	754	323
105	758	314
106	762	306
107	766	298
108	770	289
109	774	281
110	779	273
111	783	265
112	788	258
113	792	250
114	796	242
115	801	234
116	808	228
117	818	221
118	826	215
119	831	207
120	835	200
121	840	192
122	844	185
123	848	177
124	853	170
125	858	163
126	866	156
127	871	149
128	876	142
129	880	135
130	884	128
131	888	121
132	893	114
133	898	107
134	904	100
135	913	93
136	921	87
137	929	80
138	934	73
139	939	67
140	943	60
141	948	53
142	952	46
143	956	39
144	960	33
145	965	26
146	969	19
147	973	13
148	978	6
149	982	0
