epoch,step,train_loss_epoch,train_loss_step
0,49,,0.019004160538315773
0,99,,0.010988018475472927
0,149,,0.009335566312074661
0,188,0.011085575446486473,
1,199,,0.007979745976626873
1,249,,0.013247402384877205
1,299,,0.011320843361318111
1,349,,0.010340292938053608
1,377,0.010696952231228352,
2,399,,0.008145980536937714
2,449,,0.03445104882121086
2,499,,0.0129487793892622
2,549,,0.010486180894076824
2,566,0.010785202495753765,
3,599,,0.007515915669500828
3,649,,0.01508929580450058
3,699,,0.016079597175121307
3,749,,0.00922435987740755
3,755,0.010752641595900059,
4,799,,0.022930802777409554
4,849,,0.009261054918169975
4,899,,0.011252888478338718
4,944,0.01072226744145155,
5,949,,0.008593580685555935
5,999,,0.005576414987444878
5,1049,,0.009376201778650284
5,1099,,0.020373225212097168
5,1133,0.010725501924753189,
6,1149,,0.011277378536760807
6,1199,,0.012001767754554749
6,1249,,0.008244664408266544
6,1299,,0.007964720018208027
6,1322,0.01069690939038992,
7,1349,,0.010887919925153255
7,1399,,0.008381296880543232
7,1449,,0.01681884005665779
7,1499,,0.00874591339379549
7,1511,0.010740521363914013,
8,1549,,0.007577657233923674
8,1599,,0.012858112342655659
8,1649,,0.01155162788927555
8,1699,,0.010963007807731628
8,1700,0.010694382712244987,
9,1749,,0.009386427700519562
9,1799,,0.011686115525662899
9,1849,,0.0083632692694664
9,1889,0.01072312705218792,
10,1899,,0.008201977238059044
10,1949,,0.011209491640329361
10,1999,,0.009745096787810326
10,2049,,0.009184028953313828
10,2078,0.010726593434810638,
11,2099,,0.008531097322702408
11,2149,,0.007954255677759647
11,2199,,0.00946043897420168
11,2249,,0.014332759194076061
11,2267,0.010756607167422771,
12,2299,,0.006926659494638443
12,2349,,0.006107256282120943
12,2399,,0.008323549292981625
12,2449,,0.014246061444282532
12,2456,0.010819018818438053,
13,2499,,0.007516018580645323
13,2549,,0.010712340474128723
13,2599,,0.008837091736495495
13,2645,0.010694164782762527,
14,2649,,0.011737780645489693
14,2699,,0.01042496133595705
14,2749,,0.011583377607166767
14,2799,,0.009663618169724941
14,2834,0.010748337022960186,
15,2849,,0.01232509408146143
15,2899,,0.011976491659879684
15,2949,,0.00996342208236456
15,2999,,0.0072541022673249245
15,3023,0.010761386714875698,
16,3049,,0.008161099627614021
16,3099,,0.012121103703975677
16,3149,,0.01334967091679573
16,3199,,0.013825220055878162
16,3212,0.010819368064403534,
17,3249,,0.008702713064849377
17,3299,,0.011862065643072128
17,3349,,0.015588393434882164
17,3399,,0.008858016692101955
17,3401,0.010774819180369377,
18,3449,,0.007208127062767744
18,3499,,0.0061730872839689255
18,3549,,0.01051280926913023
18,3590,0.010835792869329453,
19,3599,,0.01420410256832838
19,3649,,0.01101318933069706
19,3699,,0.008687173016369343
19,3749,,0.009143898263573647
19,3779,0.010918006300926208,
20,3799,,0.008652008138597012
20,3849,,0.011271649040281773
20,3899,,0.00779306422919035
20,3949,,0.012989938259124756
20,3968,0.010755343362689018,
21,3999,,0.011620333418250084
21,4049,,0.00833312701433897
21,4099,,0.009930254891514778
21,4149,,0.010051067918539047
21,4157,0.010733786039054394,
22,4199,,0.007961152121424675
22,4249,,0.007918747141957283
22,4299,,0.0076626017689704895
22,4346,0.010723231360316277,
23,4349,,0.010548843070864677
23,4399,,0.008984429761767387
23,4449,,0.015958692878484726
23,4499,,0.02085525169968605
23,4535,0.010817482136189938,
24,4549,,0.00751600693911314
24,4599,,0.014147755689918995
24,4649,,0.012392893433570862
24,4699,,0.007484730798751116
24,4724,0.010742546059191227,
25,4749,,0.012784358114004135
25,4799,,0.013610977679491043
25,4849,,0.007987015880644321
25,4899,,0.008854767307639122
25,4913,0.010716719552874565,
26,4949,,0.008107045665383339
26,4999,,0.008990240283310413
26,5049,,0.00869931560009718
26,5099,,0.009732096455991268
26,5102,0.010789725929498672,
27,5149,,0.00824262760579586
27,5199,,0.008967112749814987
27,5249,,0.010217596776783466
27,5291,0.010786411352455616,
28,5299,,0.00920461118221283
28,5349,,0.008762722834944725
28,5399,,0.012201850302517414
28,5449,,0.008302376605570316
28,5480,0.010674437507987022,
29,5499,,0.009884366765618324
29,5549,,0.010780446231365204
29,5599,,0.007281773258000612
29,5649,,0.009830266237258911
29,5669,0.01071951910853386,
