epoch,lr-Adam,step,train_loss_epoch,train_loss_step
,0.05,0,,
0,,49,,0.008931124582886696
0,,99,,0.010610109195113182
0,,149,,0.00813978724181652
0,,189,0.011516289785504341,
,0.05,190,,
1,,199,,0.014903077855706215
1,,249,,0.006624612491577864
1,,299,,0.007059141993522644
1,,349,,0.015381654724478722
1,,379,0.011059733107686043,
,0.05,380,,
2,,399,,0.009181151166558266
2,,449,,0.00794733315706253
2,,499,,0.009729493409395218
2,,549,,0.009582615457475185
2,,569,0.010993672534823418,
,0.05,570,,
3,,599,,0.01444917730987072
3,,649,,0.035915423184633255
3,,699,,0.010323800146579742
3,,749,,0.012107505463063717
3,,759,0.010964165441691875,
,0.05,760,,
4,,799,,0.007370288483798504
4,,849,,0.010435950942337513
4,,899,,0.009868517518043518
4,,949,,0.008690431714057922
4,,949,0.011007341556251049,
,0.05,950,,
5,,999,,0.009705119766294956
5,,1049,,0.009867178276181221
5,,1099,,0.010756276547908783
5,,1139,0.010966138914227486,
,0.05,1140,,
6,,1149,,0.009338907897472382
6,,1199,,0.009298855438828468
6,,1249,,0.011712027713656425
6,,1299,,0.010433154180645943
6,,1329,0.011032144539058208,
,0.05,1330,,
7,,1349,,0.008080793544650078
7,,1399,,0.011212232522666454
7,,1449,,0.01144653744995594
7,,1499,,0.008761163800954819
7,,1519,0.010999217629432678,
,0.05,1520,,
8,,1549,,0.012091835960745811
8,,1599,,0.011167933233082294
8,,1649,,0.008323673158884048
8,,1699,,0.011540049687027931
8,,1709,0.011019834317266941,
,0.05,1710,,
9,,1749,,0.008595091290771961
9,,1799,,0.010946367867290974
9,,1849,,0.008821114897727966
9,,1899,,0.010044863447546959
9,,1899,0.011014580726623535,
